study_id,link_to_study,study_title,study_year,Journal,Citations,Label
bem1053,https://www.sciencedirect.com/science/article/abs/pii/S0040162518314112,Job creation during the global energy transition towards 100% renewable power system by 2050,2020,Technological Forecasting and Social Change,153,B_and_E
bem1073,https://www.sciencedirect.com/science/article/abs/pii/S0040162517311514,"Smart manufacturing technology, market maturity analysis and technology roadmap in the computer and electronic product manufacturing industry",2018,Technological Forecasting and Social Change,115,B_and_E
bem1115,https://www.sciencedirect.com/science/article/abs/pii/S0278431917308411,"Influence of brand signature, brand awareness, brand attitude, brand reputation on hotel industry’s brand performance",2019,International Journal of Hospitality Management,148,B_and_E
bem1131,https://www.sciencedirect.com/science/article/abs/pii/S0278431917300646,Drivers of brand loyalty in the chain coffee shop industry,2018,International Journal of Hospitality Management,63,B_and_E
bem1134,https://www.sciencedirect.com/science/article/pii/S0278431920300864,Why do people purchase from online travel agencies (OTAs)? A consumption values perspective,2020,International Journal of Hospitality Management,106,B_and_E
bem1139,https://www.sciencedirect.com/science/article/abs/pii/S0278431920300244,"Job insecurity, work engagement and their effects on hotel employees’ non-green and nonattendance behaviors",2020,International Journal of Hospitality Management,83,B_and_E
bem1151,https://www.sciencedirect.com/science/article/abs/pii/S0261517719300445,The role and dimensions of authenticity in heritage tourism,2019,Tourism Management,197,B_and_E
bem1165,https://www.sciencedirect.com/science/article/pii/S0261517719300731,Impact of crisis events on Chinese outbound tourist flow: A framework for post-events growth,2019,Tourism Management,107,B_and_E
bem1168,https://www.sciencedirect.com/science/article/abs/pii/S0261517717302522,Effects of the Booking.com rating system: Bringing hotel class into the picture,2018,Tourism Management,81,B_and_E
bem1189,https://www.sciencedirect.com/science/article/abs/pii/S014098831830183X,Spillover effects of economic globalization on CO2 emissions: A spatial panel approach,2018,Energy Economics,325,B_and_E
bem1213,https://www.sciencedirect.com/science/article/abs/pii/S0140988320301730,Effects of financial development on energy consumption: The role of country risks,2020,Energy Economics,124,B_and_E
